Subject Code	Course Number	Class Number	Associated Class Number	Days	Start Time	End Time	Room	Instructor(s)	instructor_pittid	Ta(s)	Type	Session	Writing	Enrollment Cap	Current Enrollment	Current Waitlist	cross_list_id	Notes	Description	deleted	Academic Term Code	last_modified
CS	2900	25774	1205	ByAppt	12:00 am	12:00 am	TBA	TBD			INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25775	1210	ByAppt	12:00 am	12:00 am	TBA	TBD			INT	AT								0	2214	2020-10-28 11:42:18
CS	2910	25784	1010	ByAppt	12:00 am	12:00 am	TBA	S. Lee	stl86		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25785	1020	ByAppt	12:00 am	12:00 am	TBA	S. Chang	schang		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25786	1030	ByAppt	12:00 am	12:00 am	TBA	B. Childers	childers		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25787	1040	ByAppt	12:00 am	12:00 am	TBA	P. Chrysanthis	panos		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25788	1050	ByAppt	12:00 am	12:00 am	TBA	M. Hauskrecht	milos		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25789	1060	ByAppt	12:00 am	12:00 am	TBA	X. Tang	tax6		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25790	1070	ByAppt	12:00 am	12:00 am	TBA	A. Kovashka	aik85		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25791	1080	ByAppt	12:00 am	12:00 am	TBA	A. Labrinidis	labrinid		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25792	1090	ByAppt	12:00 am	12:00 am	TBA	J. Lange	jlange		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25793	1100	ByAppt	12:00 am	12:00 am	TBA	A. Lee	adamlee		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25794	1110	ByAppt	12:00 am	12:00 am	TBA	D. Litman	dlitman		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25795	1120	ByAppt	12:00 am	12:00 am	TBA	R. Melhem	melhem		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25796	1130	ByAppt	12:00 am	12:00 am	TBA	D. Mosse	mosse		DIR	AT								0	2214	2020-10-28 11:42:18
CS	2910	25797	1140	ByAppt	12:00 am	12:00 am	TBA	TBD			DIR	AT								0	2214	2020-10-28 11:42:18
